Date,Time,00-06-TH-01~H,00-06-TH-01~H.DateTime,00-06-TH-01~H.Flag,00-06-TH-01~T,00-06-TH-01~T.DateTime,00-06-TH-01~T.Flag,00-13-TH-01~H,00-13-TH-01~H.DateTime,00-13-TH-01~H.Flag,00-13-TH-01~T,00-13-TH-01~T.DateTime,00-13-TH-01~T.Flag,00-14-TH-01~H,00-14-TH-01~H.DateTime,00-14-TH-01~H.Flag,00-14-TH-01~T,00-14-TH-01~T.DateTime,00-14-TH-01~T.Flag
2015-09-06,00:00:00,46,2015-09-05 23:44:26,U,21.1,2015-09-05 23:44:26,U,42.8,2015-09-05 23:54:31,U,22.7,2015-09-05 23:54:31,U,42.8,2015-09-05 23:40:10,U,22.1,2015-09-05 23:40:10,U
2015-09-06,00:10:00,46,2015-09-06 00:05:29,U,21,2015-09-06 00:05:29,U,42.8,2015-09-05 23:54:31,P,22.7,2015-09-05 23:54:31,P,42.8,2015-09-06 00:01:16,U,22.2,2015-09-06 00:01:16,U
2015-09-06,00:20:00,46,2015-09-06 00:05:29,P,21,2015-09-06 00:05:29,P,42.8,2015-09-06 00:10:22,U,22.7,2015-09-06 00:10:22,U,42.8,2015-09-06 00:01:16,P,22.2,2015-09-06 00:01:16,P
2015-09-06,00:30:00,46,2015-09-06 00:05:29,P,21,2015-09-06 00:05:29,P,42.8,2015-09-06 00:24:27,U,22.7,2015-09-06 00:24:27,U,43.2,2015-09-06 00:24:07,U,22.1,2015-09-06 00:24:07,U
2015-09-06,00:40:00,46.4,2015-09-06 00:30:02,U,20.8,2015-09-06 00:30:02,U,42.8,2015-09-06 00:24:27,P,22.7,2015-09-06 00:24:27,P,43.2,2015-09-06 00:24:07,P,22.1,2015-09-06 00:24:07,P
2015-09-06,00:50:00,46.4,2015-09-06 00:47:34,U,20.8,2015-09-06 00:47:34,U,42.8,2015-09-06 00:40:18,U,22.6,2015-09-06 00:40:18,U,43.2,2015-09-06 00:45:13,U,22.1,2015-09-06 00:45:13,U
2015-09-06,01:00:00,46.4,2015-09-06 00:47:34,P,20.8,2015-09-06 00:47:34,P,42.8,2015-09-06 00:40:18,P,22.6,2015-09-06 00:40:18,P,43.2,2015-09-06 00:45:13,P,22.1,2015-09-06 00:45:13,P
2015-09-06,01:10:00,46.4,2015-09-06 01:05:07,U,21,2015-09-06 01:05:07,U,42.8,2015-09-06 01:01:26,U,22.6,2015-09-06 01:01:26,U,43.2,2015-09-06 01:02:48,U,22.1,2015-09-06 01:02:48,U
2015-09-06,01:20:00,46.4,2015-09-06 01:05:07,P,21,2015-09-06 01:05:07,P,42.8,2015-09-06 01:19:03,U,22.6,2015-09-06 01:19:03,U,43.2,2015-09-06 01:02:48,P,22.1,2015-09-06 01:02:48,P
2015-09-06,01:30:00,46.4,2015-09-06 01:27:55,U,20.8,2015-09-06 01:27:55,U,42.8,2015-09-06 01:19:03,P,22.6,2015-09-06 01:19:03,P,43.2,2015-09-06 01:22:08,U,22.1,2015-09-06 01:22:08,U
2015-09-06,01:40:00,46.4,2015-09-06 01:27:55,P,20.8,2015-09-06 01:27:55,P,42.8,2015-09-06 01:19:03,P,22.6,2015-09-06 01:19:03,P,43.2,2015-09-06 01:37:57,U,22.1,2015-09-06 01:37:57,U
